ID,Entity,Content
851051183720166_370379652165717,McDonalds,What the mess??? Grandma McFlurry? What an I missing??? 🤤🤤🤤
851051183720166_1204121937244564,McDonalds,Well....that's worded poorly
851051183720166_469756728958455,McDonalds,"Can you please tell me where I can get one in the Griffin, GA area.  I went to all three stores and none could provide the product.  The machine was down at one and the other two did not have the cream or something to make the mcFlurry.  I just want to try it."
851051183720166_295400720295076,McDonalds,Mine got ran over by a reindeer
851051183720166_419324804199799,McDonalds,What is it??
851051183720166_784308820433641,McDonalds,"McDonalds out here lying to everyone because we all know their ice cream machines are always ""broken"""
851051183720166_989954259298023,McDonalds,Is it prune flavored?
851051183720166_1905529336573076,McDonalds,"McDonalds In Beckley WV needs a serious upgrade of employees. Every single time we go there, we wait at minimum for twenty minutes for our food. This last time we were told to pull up to the next window sat there for 30 minutes, decided to go inside & our food was just sitting there on the counter. Tried to talk to a worker/manager and no one even acknowledged us."
851051183720166_836935505009783,McDonalds,McDonald's app is pretty ridiculous every time I go to try and use it it says that I've already used a deal for today so I can't get any more when I never even used it
851051183720166_419289930866843,McDonalds,Could’ve been 4 grannies if you had the snack wraps….😐
851051183720166_1120180535861023,McDonalds,You took them? Where are they??
851051183720166_2325939677599866,McDonalds,What flavor is it ?
851051183720166_759760659336028,McDonalds,Is it made of real or artificial grandma
851051183720166_1121850022238890,McDonalds,are the grandmas ethically sourced?
851051183720166_2704223549752000,McDonalds,Does it give you GrandMal seizures?
851051183720166_989568472881720,McDonalds,What flavor is it
851051183720166_766170845666116,McDonalds,Do the “crunchy candy pieces” contain nuts?
851051183720166_7927313357289383,McDonalds,Bring back the little dog plushes from 2004 plss 😭
851051183720166_443345808395892,McDonalds,Does this mean the ice cream machines work again?
851051183720166_991201545733514,McDonalds,It would be so much better without the pieces of candy in it. I loved the butterscotch but overall it was too sweet.
851051183720166_2721661834650747,McDonalds,McDonald’s please bring back a grilled chicken sandwich.
851051183720166_3589217291327573,McDonalds,2.36 for a cheeseburger you are out of your mind
851051183720166_1029367825468248,McDonalds,Sooooo...it's a butterscotch mcflurry? They couldn't just call it that?
851051183720166_425011510343569,McDonalds,Is it made with real grandmas?
851051183720166_2811852932310617,McDonalds,"Unless it has crushed up hard candy from that dish that every granny has, it isn't a grandma McFlurry."
851051183720166_430953262891740,McDonalds,Did you find one with a working ice cream machine?
851051183720166_1505345673669901,McDonalds,My grandma will have a stroke if I give her McDonald’s
851051183720166_801949108239169,McDonalds,Wtf flavor is grandma
851051183720166_3757095157838368,McDonalds,"I just want the Reese’s McFlurry back, McDonald’s."
851051183720166_462665326176022,McDonalds,How come no matter which McDonald's you go to in this country how come the ice cream machine is always broken. The one in Cedartown across from Jack's I've been trying to get a grandma McFlurry for a couple of days here the machine is broke or they out of ice cream. I'm at the point now that I don't want it now.
851051183720166_497700842830169,McDonalds,I got the grandma McFlurry yesterday
851051183720166_451546554132110,McDonalds,Awesome!!
851051183720166_412476385016427,McDonalds,I heard it tastes like butterscotch 🤷🏼‍♀️ def sounds like a weird mcflurry but may just be good if everyone can get past the name of it 😂😂😂😂
851051183720166_1898527870582477,McDonalds,Bring back fried apple pies to the USA!
851051183720166_826579245525664,McDonalds,I'll take a super size Grandma Mcflurry please. 😂😋
851051183720166_1506948346869628,McDonalds,Does the Grandma McFlurry have nuts in it?
851051183720166_959204822651613,McDonalds,"Kool, can I get that at a price Grandma can afford?"
851051183720166_742238757824020,McDonalds,I liked the pretzel one more. This is way too sweet.
851051183720166_989457589234553,McDonalds,Wish my Nonni was alive. We would have def had a McFlurry date !
851051183720166_1483517159185396,McDonalds,It would be nice if it was posted what's in it! I asked at the driver thru and was told I honestly don't know!
851051183720166_1506661493606235,McDonalds,Is it really a McFlurry if they don’t even mix up the ingredients anymore? I just get a cup of soft serve with all toppings falling off because they don’t stir them anymore
851051183720166_7987341007966937,McDonalds,As a grandmother I'll say no. Your prices are way to high. We might as well go to a real restaurant (not fast food) somewhere and sit down and eat
851051183720166_1423522258330467,McDonalds,Will there be a working machine if i go?
851051183720166_831644458879023,McDonalds,Are all the ice cream machines working in all the stores now😂😂
851051183720166_991098556018083,McDonalds,"The first meal I bought someone was my Grandmother Jennie. I got a babysitting job and after I got paid I took her out to buy her lunch  We got too value meals but I was short, so she got a free coffee instead of a sofa. This was decades ago. And I am pretty sure I had under $10. Good memory."
851051183720166_2160657100935522,McDonalds,I'm still upset about the breakfast cinnamon rolls being discontinued 😭
851051183720166_738303285179663,McDonalds,"Does it include strawberry candy 
from the candy dish?"
851051183720166_1125678455314391,McDonalds,Liked it but a little too much butterscotch candy pieces. Would be better w granola or cookie crumbs.
851051183720166_430040499785226,McDonalds,It's butterscotch syrup and crumbles
851051183720166_1002698391463667,McDonalds,"Joe 'Jose' Hernandez It could also be a pending charge. I've had this concern with a lot of customers when I worked there. On Mcdoanlds side, on the screen there is a pay button on the screen. Unless if they push that to pay out the transaction on their end, it'll show as a pending transaction on your end and won't go back into your account for maybe a day to a few days. I would always explain this to those customers and told them if the charge does actually go through, to give my store a call then we could sort it out then. I think the reason why they said they couldn't do the refund was because if it said on their end you canceled it, or if they didn't press pay on their end then it would just be a pending charge and you would end up getting your money back in your account. So if they gave you the refund, then you would technically be getting more money back. I hope this makes sense ."
851051183720166_438950115547297,McDonalds,Is this cough drop flavored?Like the ones grandma used to give us instead of candy?
851051183720166_1384388435560648,McDonalds,Won't ever be eating one cuz the machine is always broken like grandma's hips
851051183720166_1644901876307735,McDonalds,"I had it yesterday, reminded me kind of like Butter finger smashed into ice cream and smothered in syrup"
851051183720166_1508174833103759,McDonalds,I went today. It wasn't my favorite. I had to try it though because butterscotch is so good.
851051183720166_420876900855631,McDonalds,It’s very good!!!
851051183720166_488104260447423,McDonalds,How about some snack wraps in snack wrap flavors?
851051183720166_369113118966114,McDonalds,"Grilled chicken or grilled chicken snack wrap!
With everything else fried, I can’t eat at McDonald’s"
851051183720166_789206366610971,McDonalds,I hope some grandmas  can get these and the machine won't be mcbroken when they get there.
851051183720166_1200940491342424,McDonalds,My grandma wasn't into butterscotch but she was into the strawberry candy
851051183720166_930232505542902,McDonalds,Did they get the right order?? And was the ice cream machine working??
851051183720166_1164962254539002,McDonalds,I like their food
851051183720166_370615276035459,McDonalds,Fried apple pies!!!!
851051183720166_988736642637237,McDonalds,For how long?    I missed it!!
851051183720166_8455584491137839,McDonalds,AI...because the machine is down.
851051183720166_7791842744209524,McDonalds,Ok. Anyway where are the snackwraps
851051183720166_1474338926510846,McDonalds,Why do they pull us up for everything now this is ridiculous
851051183720166_958852902588615,McDonalds,What’s the flavor ?
851051183720166_1146439639737009,McDonalds,I only eat the fries. Afraid I'll get Fed more rotten meat. 😭
851051183720166_7508698959177896,McDonalds,Moth ball flavored no doubt!
851051183720166_1924646831299142,McDonalds,Kinks and Cocktails is doing an episode about grandma's next and we will feature this mcflurry as our snack pairing! Thank you!
851051183720166_756162653351608,McDonalds,"We sell soooooo many of them. They taste fabulous and I enjoy making them while putting a little bit of my ""nanna"" touch to each ""grandma McFlurry!"" I'm able to make"
851051183720166_1575759839947559,McDonalds,Why does butterscotch gotta be associated with old folks. 🤨 I absolutely love butterscotch
851051183720166_753863726923701,McDonalds,"Grandma’s treat yourself, it’s wonderful!😊"
851051183720166_1935004930288301,McDonalds,Awesome!!
851051183720166_2460288814181299,McDonalds,"If my McDonald's had it I'd try it, but no guarantee their ice cream machine works (you seriously need a new machine vendor)."
851051183720166_1693725797825518,McDonalds,"It's good, had one last night"
851051183720166_500253485733880,McDonalds,Snack wraps
851051183720166_2767116696788472,McDonalds,OMG ITS MODERN DAY SOYLENT GREEN!
851051183720166_2117240281986986,McDonalds,"So, butterscotch lol. Sounds good!"
851051183720166_1715043892362984,McDonalds,I just ordered one in the app but got there and the ice cream machine was down. Imagine that McDonald's
851051183720166_367606412975082,McDonalds,What in it ??
851051183720166_974868693954440,McDonalds,It was so yummy! Better than purse candy!
851051183720166_1562990554433611,McDonalds,"I don't think we will be eating at McD any longer. The price of an extremely small sundae is now almost $9.00 which is about $7.00 too much. We know this is an independent owner who can pretty much set his own prices, but geez, that's crazy."
851051183720166_930459308765247,McDonalds,Oh nice another McFlurry I will never get to try because the machine is always “down” “broken” “waiting on the repair man”
851051183720166_339591768878498,McDonalds,What flavour is it?
851051183720166_1363249624347808,McDonalds,McD’s is counting on many to buy this McFlurry because most people will just have to “be in the know” about specific products so as to appear they know everything.
851051183720166_833519182028103,McDonalds,Man McDonald’s all I see is y’all avoiding the answer to question of WHAT CANDY specifically is in it as people do have allergies 😩
851051183720166_464024952964069,McDonalds,My grandma asked if we can go back to 2009 when the menu was better and there was actually grilled chicken and brownie melts.
851051183720166_2315043808699956,McDonalds,"Please have the mcflurry longer today, I was going to buy it but I forgot, I want to try it, it looks very delicious 🙏🙏🙏 please 😍🥰😋😋"
851051183720166_476701038089700,McDonalds,Chad Ray your mom needs one of these.
851051183720166_1011450107065648,McDonalds,"What is ""smooth syrup"" ?"
851051183720166_756964046593937,McDonalds,I know a lot of adults say they don’t like McDonald’s but kids do! I’m a grandma and I’m all about doing things that my grandkids enjoy. Off to McDonald’s we go!
851051183720166_469912412176741,McDonalds,Lauren Masapollo literally just snapped you about this
851051183720166_417206534521489,McDonalds,I have to get mine!! 🥰
851051183720166_373575718572736,McDonalds,Y'all can make 👵mcflurry but not 🍦well I'm coming to try granny mcflurry ❤️😂
851051183720166_345192421571856,McDonalds,i only like chocolate syrup in mine so if they won't do that i won't be buying one!!
851051183720166_1663292024484417,McDonalds,Bring back fried apple pies!!!!
851051183720166_987352323018335,McDonalds,My grandma said f**k that shake where the snack wraps at
851051183720166_3730127150539445,McDonalds,Omg Mc Donald's I tried it!!!!! Ohhh the memories - there was a butterscotch plant next to our school in the 80's and we smelled it all day! Also Grandma's purse candy!!!! You gave this grandma lots of memories!!!
851051183720166_1188245665695490,McDonalds,Exactly what candy pieces I have 🤧allergies
851051183720166_855536333101036,McDonalds,Not sure why Mc Donald's is gatekeeping the candy and syrup... But it's butterscotch.
851051183720166_450878714154495,McDonalds,Given the 100% price increases since 2014 my grandma says she doesn't eat at #McDonalds anymore it's too expensive.
851051183720166_858711952943042,McDonalds,"I'm not a grandma but that's ok, I don't like butterscotch!"
851051183720166_1114832053156102,McDonalds,I would like a response to my application for McDonald's in kingwood West Virginia but no one wants to get back to me so yeah great job McDonald's corporate office really great job
851051183720166_819470213005568,McDonalds,I feel like everyone will become a Grandma and a Grandpa waiting for the Ice Cream machine to be working!
851051183720166_265491346591758,McDonalds,Grandma wants a free refill
851051183720166_413552994847188,McDonalds,My daughter said it looked like grandma pee. I thought it tasted like werthers original caramels
851051183720166_2246630289004849,McDonalds,I brought a strawberry Frappuccino from Starbucks today was good for the first few sips and then watery the rest of drink!  I want be wasting my money there again.  Sorry Macdonald I will be be getting my frappes from there from now on!
851051183720166_421289980699289,McDonalds,Which location did you go to? Can't ever seem to find one where the ice cream machine is working 😉
851051183720166_426115176715001,McDonalds,It’s butterscotch and vanilla you guys 😂😂
851051183720166_971968110905034,McDonalds,rip! worth it tho
851051183720166_687900753433677,McDonalds,I wish they would bring back yougart parfait  again soo good for a dollar
851051183720166_424804846983971,McDonalds,I tried a Grandma McFlurry and it’s delicious
851051183720166_315514471595516,McDonalds,Are they made with real Grandmas?
851051183720166_4624179541157545,McDonalds,McDonald's  Why can't we have the BBQ chipotle snack wrap and the Mulan szechuan sauce back?? 😭😭
851051183720166_3819972881620413,McDonalds,Drinking this will turn you into a grandma
851051183720166_466490242423607,McDonalds,What flavors are in a grandma Mc Flurry
851051183720166_1150710292748560,McDonalds,"Hate to drive up to pay, then pull forward to receive order to be told to pull into a parking space to wait indefinately. What ever happened to first come first served?"
851051183720166_472416018592488,McDonalds,That sounds morbid af o..o
851051183720166_410608685277913,McDonalds,"Would be great if any McDonalds still actually blended a McFlurry….

Can’t remember the last time I had a McFlurry where it wasn’t just vanilla ice cream with whatever topping on it… can’t even remember the last time I’ve gotten one of the mixing spoons…."
851051183720166_1020763592863121,McDonalds,"Got mine on Sunday!! 💖 Always Get Dessert XOXO, Grandma ￼"
851051183720166_987737809522275,McDonalds,It is worth going to Japan just to enjoy a Teriyaki Big Mac - and only $3. Too bad they're not available here.
851051183720166_768453875087088,McDonalds,"I had it the other day, it was amazing. 

But 

Imagine the endless possibilities if McDonald's took a bold leap and shared the magic of their iconic fries and cookies beyond their golden arches. By bringing their beloved treats to more locations (Walmart, Target, Walgreens, Dollar Tree, etc.), they could spread joy and satisfaction to even more people, making every shopping trip a delightful experience. It's not just about selling food; it's about spreading happiness wherever hunger strikes. Not only that, but they would rake in even more dough, which allows them to pay their employees better, and lower the costs of their food. It's a win/win for the business and its consumers!"
851051183720166_980039163610697,McDonalds,"Bring back dollar menu for folks, I sure can’t afford McDonald’s nothing like I used too🙃"
851051183720166_819630422938781,McDonalds,Butterscotch is the flavor with ￼ butterscotch candy pieces.
851051183720166_934336581708398,McDonalds,"It's like...it brings to mind fuzzy candy, hair, and  old Kleenex..."
851051183720166_362733323458197,McDonalds,This grandma of six will pass on it
851051183720166_376774964793893,McDonalds,I’ll take my homecare client to get one (:
851051183720166_1203101804461572,McDonalds,What about grimace shakes?
851051183720166_432140956124966,McDonalds,Wtf is my yogurt parfait s mf
851051183720166_821414029433349,McDonalds,"Absolutely AWFUL.  You will never convince me this wasn't on purpose.  Still 2 hours before they closed, I ordered 2 mcdoubles on the app with NO PICKLE, NO ONIONS.  What did I get?  2 mcdoubles with EXTRA PICKLES AND EXTRA ONIONS.  There is no way this was an honest mistake.  Not when the specific wrote it on the wrapper as extra pickles and extra onions.  That's not a mistake, that was on purpose.  My email receipt clearly says no pickle, no onion, for the wrapper to say extra pickle and extra onion is no mistake, that was intentional.  Fries were cold and mushy.  Just awful all around."
851051183720166_368715469068318,McDonalds,They would not honor the buy one get one deal. 40 cents more c'mon. Charge us for the more expensive one and give us the cheaper one for free.
851051183720166_1167981794328256,McDonalds,too much opinion
851051183720166_1631203617719747,McDonalds,I had it today was really good!
851051183720166_413140931542287,McDonalds,"Had one today, tastes like butterscotch 🧡"
851051183720166_1884416458669543,McDonalds,I'm a grandma of 11. I wanna try it!
851051183720166_964950101789140,McDonalds,These ppl are to old and skinny to have ate at McDonald's 😂
851051183720166_1099303771179314,McDonalds,I wanna know whose grandma was eating a mcflurry ..
851051183720166_1618958318885761,McDonalds,I only sold one Grandma Mcflurry
851051183720166_860659099441322,McDonalds,I didn't know my grandmother tasted like mars bar syrup I'll make sure to let her know in the next oujia board session. Thank you mickey Dee's
851051183720166_1245502056416756,McDonalds,Had one today. my new favorite❤
851051183720166_331364096434117,McDonalds,I want the chicken selects back
851051183720166_400860659605061,McDonalds,If it was MY grandmas McFlurry it would taste like tissue lint mixed with certs mints and a sprinkle of Estée Lauder youth dew perfume 😭😂😂😂
851051183720166_842579561075749,McDonalds,"Do these grandma’s get a senior discount for the McFlurry? Cause they should!

Or maybe we should honor grandparents by bringing prices down to what they used to be so they can afford them (and us to) as CEOs/shareholders don’t need the money/profit margins, the employees do and costs have not increased THAT MUCH to justify the inflation…💅"
851051183720166_4511728402386105,McDonalds,Learn how to write
851051183720166_769673288325027,McDonalds,Sarah Woody Nyberg can’t wait to see your pic on here
851051183720166_770949478521411,McDonalds,"For y'all wondering, it's butterscotch"
851051183720166_762389522752165,McDonalds,Fried apple pies!
851051183720166_726597969461162,McDonalds,I'm not getting the reason why this is a Grandma McFlurry..... I'm a grandmother and I wouldn't want this.
851051183720166_366831235864779,McDonalds,What is “smooth syrup?”
851051183720166_2933322040143163,McDonalds,Smells like allowing franchise owners to provide aide and comfort to war criminals.
851051183720166_1692444294622345,McDonalds,I love butterscotch
